"gene"	"kmeans"	"coxreg"	"qcut50"	"qcut2575"	"kmScanP"	"kmScanQ"
"AKAP12.9590"	"AKAP12|9590"	"0.0459909273263346"	"0.0609182665469472"	"0.129615502580092"	"0.0793320879588248"	"0.0168184229848363"	"1"
"AKNA.80709"	"AKNA|80709"	"0.594386625171451"	"0.102408231041874"	"0.418527059970005"	"0.123022026670475"	"0.00405139317051985"	"0.733302163864093"
"AKR1CL1.340811"	"AKR1CL1|340811"	"1"	"1"	"0.0240918673670618"	"0.0240918673670618"	"5.8431213450056e-39"	"1.05760496344601e-36"
"AKR1E2.83592"	"AKR1E2|83592"	"0.97938245282119"	"0.440189719451065"	"0.9401604517604"	"0.870446047367382"	"0.0688710465892654"	"1"
"AKR7A2.8574"	"AKR7A2|8574"	"0.845671752081464"	"0.891674949826106"	"0.472004791117784"	"0.67952473069233"	"0.116448012056632"	"1"
"AKR7L.246181"	"AKR7L|246181"	"0.28714997950402"	"0.775905584520654"	"0.633591645695856"	"0.648230993583872"	"0.0627016083346522"	"1"
"AKT3.10000"	"AKT3|10000"	"0.971367918595145"	"0.249490868735892"	"0.610056722205106"	"0.28800878612913"	"0.0247280319192041"	"1"
"AKTIP.64400"	"AKTIP|64400"	"0.630947053305632"	"0.735106109970606"	"0.477885676369605"	"0.508283051673464"	"0.141749976963201"	"1"
"ALB.213"	"ALB|213"	"1"	"1"	"0.199500511687474"	"0.331505584678222"	"6.92922456732799e-09"	"1.25418964668637e-06"
"ALDH1A3.220"	"ALDH1A3|220"	"0.711999541465438"	"0.833876500207989"	"0.613322655880604"	"0.599646516167998"	"0.10136913683824"	"1"
"ALDH2.217"	"ALDH2|217"	"0.601609614581288"	"0.611234239681123"	"0.785810086576598"	"0.826953665807604"	"0.158669650280257"	"1"
"ALDH3A1.218"	"ALDH3A1|218"	"0.0660909937369647"	"0.283478225451565"	"0.234429066424946"	"0.1389568810665"	"0.0113535044902887"	"1"
"ALDH3A2.224"	"ALDH3A2|224"	"0.941793159729649"	"0.473356550493136"	"0.843593196880541"	"0.652812073334688"	"0.0513073600415158"	"1"
